nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 77957141,79.3719,-34.897,4.01,0,,,,,4,22.6,ok
TIC 140692280,73.7973,-74.9365,4.05,0,,,,,42,16.7,ok
TIC 60905900,66.6516,14.7136,4.06,0,,,,,7,24.3,ok
TIC 40716679,78.4397,-67.1851,4.1,0,,,,,37,15.6,ok
TIC 141280255,82.9738,-76.3396,4.11,0,,,,,?,0.6,erreur
TIC 77725734,77.1959,-34.5169,4.12,0,,,,,1,2.5,ok
TIC 177179102,104.9603,-67.9151,4.13,0,,,,,43,16.2,ok
TIC 278987417,101.8279,-55.5399,4.17,0,,,,,?,0.5,erreur
TIC 38613910,57.198,-7.0151,4.18,0,,,,,2,4.7,ok
TIC 24702035,81.2573,-10.329,4.2,0,,,,,4,8.7,ok
TIC 245904110,69.54,12.5107,4.21,0,,,,,7,13.3,ok
TIC 381949122,76.3775,-57.4721,4.22,0,,,,,45,16.3,ok
TIC 244203955,73.2235,-5.4526,4.23,0,,,,,?,0.6,erreur
TIC 77263680,70.1396,-41.8642,4.24,0,,,,,5,9.5,ok
TIC 13061590,75.5414,-26.2754,4.24,0,,,,,3,6.0,ok
TIC 245823237,67.7802,15.1048,4.24,0,,,,,7,12.5,ok
TIC 114924130,72.5486,-16.2169,4.26,0,,,,,3,6.2,ok
TIC 149542947,86.1929,-65.7355,4.26,0,,,,,33,16.7,ok
TIC 143108992,89.3842,-35.2832,4.27,0,,,,,6,11.8,ok
TIC 309401053,124.5787,-65.6131,4.28,0,,,,,22,16.6,ok
TIC 260605873,97.3684,-56.8526,4.29,0,,,,,44,16.2,ok
TIC 399669624,72.6531,8.8999,4.3,0,,,,,3,6.6,ok
TIC 169397207,76.9574,-12.5931,4.32,0,,,,,3,6.5,ok
TIC 136887637,61.0783,-15.7252,4.33,0,,,,,2,4.7,ok
TIC 283729844,63.4849,9.2636,4.33,0,,,,,4,7.7,ok
TIC 461714424,59.8756,-12.5746,4.35,0,,,,,2,5.4,ok
TIC 152373997,74.9825,-12.5379,4.35,0,,,,,3,7.1,ok
TIC 382198789,81.5803,-58.9123,4.36,0,,,,,43,16.0,ok
TIC 60879864,66.5871,15.6182,4.36,0,,,,,6,10.2,ok
TIC 67718971,63.3734,-10.3874,4.37,0,,,,,2,4.0,ok
TIC 450103814,73.6989,7.779,4.38,0,,,,,3,6.1,ok
TIC 255686390,98.744,-52.9755,4.39,0,,,,,23,16.0,ok
TIC 44737391,60.8706,-24.4603,4.39,0,,,,,3,5.8,ok
TIC 170882932,70.7886,-30.7659,4.4,0,,,,,3,6.0,ok
TIC 169551936,78.3077,-12.9412,4.41,0,,,,,2,3.9,ok
TIC 30960976,79.8798,-25.1243,4.42,0,,,,,4,9.5,ok
TIC 150320620,95.7559,-63.683,4.43,1,2.2113,17.0,rejete,variabilite_continue;eclipse_secondaire;compagnon_trop_gros_8.6Rjup,40,22.5,ok
TIC 38680734,65.4731,-63.3855,4.43,0,,,,,45,16.3,ok
TIC 178776015,65.7737,-24.8923,4.43,0,,,,,3,5.6,ok
TIC 152590034,64.8201,-44.2681,4.46,0,,,,,4,8.0,ok
TIC 30762159,75.6791,-71.3143,4.46,0,,,,,42,16.3,ok
TIC 7321572,80.154,-43.5338,4.46,0,,,,,6,11.1,ok
TIC 11046799,56.2358,-0.2968,4.47,0,,,,,2,4.0,ok
TIC 235081444,86.6142,-46.5971,4.49,0,,,,,7,12.5,ok
TIC 283630339,62.1751,10.0991,4.49,0,,,,,6,10.5,ok
TIC 270678026,87.7217,-52.1092,4.5,0,,,,,17,18.5,ok
TIC 279493836,59.1153,-13.5976,4.5,0,,,,,2,4.1,ok
TIC 192847293,83.2146,-38.5135,4.51,0,,,,,6,11.1,ok
TIC 306829961,121.9823,-68.6169,4.53,0,,,,,38,16.3,ok
TIC 152477624,62.7121,-41.9932,4.55,0,,,,,3,5.7,ok
TIC 283793973,63.8837,8.8922,4.55,0,,,,,5,9.6,ok
TIC 299096773,71.3757,-3.2547,4.55,0,,,,,3,6.4,ok
TIC 167126852,96.3693,-69.6892,4.55,0,,,,,42,16.9,ok
TIC 245860427,68.4628,14.8443,4.55,0,,,,,7,12.8,ok
TIC 381925942,76.2524,-54.4074,4.55,0,,,,,21,17.2,ok
TIC 449052173,67.4124,5.1641,4.56,0,,,,,3,6.5,ok
TIC 141810080,92.5628,-74.7542,4.56,0,,,,,45,16.8,ok
TIC 31053527,80.4426,-24.773,4.56,0,,,,,4,7.9,ok
TIC 146439619,75.6879,-22.7949,4.57,0,,,,,2,4.4,ok
TIC 220613852,84.0118,-47.3139,4.57,0,,,,,7,12.5,ok
TIC 407966439,60.7941,8.8826,4.6,0,,,,,4,7.2,ok
TIC 149304313,83.2487,-64.2276,4.61,0,,,,,40,16.5,ok
TIC 259477845,70.6932,-50.4811,4.62,0,,,,,?,0.7,erreur
TIC 349647610,112.2143,-64.5099,4.62,0,,,,,44,16.3,ok
TIC 442871031,79.8939,-13.1768,4.62,0,,,,,3,6.2,ok
TIC 34340609,62.5938,-6.924,4.64,0,,,,,2,4.0,ok
TIC 38574220,63.7023,-62.1913,4.64,0,,,,,42,16.0,ok
TIC 142108949,99.4239,-77.5384,4.65,0,,,,,42,16.2,ok
TIC 401967131,57.8626,-1.3713,4.65,0,,,,,1,2.3,ok
TIC 436648370,72.4337,15.9042,4.67,0,,,,,7,12.7,ok
TIC 136888305,61.0947,-12.7921,4.67,0,,,,,2,3.9,ok
TIC 262399760,78.4469,0.5604,4.68,0,,,,,3,6.1,ok
TIC 38125977,68.3421,-10.7851,4.68,0,,,,,3,6.2,ok
TIC 38699658,66.272,-61.238,4.68,0,,,,,44,16.0,ok
TIC 350094361,115.137,-64.3233,4.69,0,,,,,44,16.6,ok
TIC 243031870,61.0785,12.5074,4.69,0,,,,,?,0.5,erreur
TIC 425215861,77.2866,-8.7541,4.7,0,,,,,2,4.2,ok
TIC 260972404,75.0547,-78.3001,4.7,0,,,,,36,17.0,ok
TIC 140213635,84.9576,-32.6294,4.7,0,,,,,6,10.9,ok
TIC 295071039,72.6836,-69.8314,4.7,0,,,,,43,16.1,ok
TIC 100508573,85.8105,-33.4249,4.71,0,,,,,6,10.8,ok
TIC 269077985,75.4598,0.7219,4.72,0,,,,,3,6.2,ok
TIC 24531951,83.2815,-35.1395,4.72,0,,,,,6,10.7,ok
TIC 350563801,86.8056,-54.3607,4.72,0,,,,,32,16.5,ok
TIC 178804201,65.9184,-27.8303,4.74,0,,,,,3,5.8,ok
TIC 453835413,57.1627,0.2278,4.75,0,,,,,2,4.1,ok
TIC 38759751,66.9417,-62.5212,4.75,0,,,,,43,16.7,ok
TIC 229075874,63.2001,-23.8212,4.75,0,,,,,4,7.4,ok
TIC 161636895,75.7587,-42.498,4.76,0,,,,,6,11.1,ok
TIC 38828538,68.3902,-62.8238,4.76,0,,,,,42,17.2,ok
TIC 178995938,70.028,-24.4822,4.76,0,,,,,3,12.4,ok
TIC 374828367,54.9628,3.0569,4.77,0,,,,,2,15.6,ok
TIC 396897866,62.7889,2.3183,4.77,0,,,,,2,8.9,ok
TIC 453855182,82.9002,-45.9251,4.78,0,,,,,6,10.4,ok
TIC 70987842,65.1724,-16.8299,4.78,0,,,,,2,4.0,ok
