nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 243279536,288.4796,57.7046,4.01,0,,,,,36,9.9,ok
TIC 259272661,293.8508,69.8056,4.06,0,,,,,41,9.4,ok
TIC 30255157,288.8538,30.5262,4.07,0,,,,,7,6.2,ok
TIC 121085912,287.055,39.1549,4.1,0,,,,,8,8.0,ok
TIC 120422800,285.0794,40.6839,4.11,0,,,,,8,7.5,ok
TIC 441620585,120.0487,73.9177,4.12,0,,,,,7,6.3,ok
TIC 219878176,260.8145,71.87,4.12,0,,,,,40,8.9,ok
TIC 159740890,268.3252,40.0083,4.13,0,,,,,7,6.7,ok
TIC 42195905,286.2417,31.7436,4.13,0,,,,,8,7.0,ok
TIC 193872669,269.9842,45.5012,4.13,0,,,,,9,8.3,ok
TIC 356822358,275.189,71.338,4.14,0,,,,,40,8.9,ok
TIC 461522596,342.893,85.0464,4.14,0,,,,,12,8.9,ok
TIC 156974847,275.7048,17.8267,4.15,0,,,,,4,4.3,ok
TIC 199666719,252.0692,57.8137,4.15,0,,,,,41,9.2,ok
TIC 298074497,201.534,72.3914,4.16,0,,,,,10,9.1,ok
TIC 27014182,294.1105,50.2227,4.17,0,,,,,13,9.9,ok
TIC 198838018,284.9401,26.2303,4.17,0,,,,,7,6.2,ok
TIC 336130142,281.1934,37.6052,4.19,0,,,,,7,6.7,ok
TIC 271433034,295.1715,43.0778,4.19,0,,,,,10,9.6,ok
TIC 219895046,262.9909,68.1358,4.19,0,,,,,36,9.0,ok
TIC 332626441,271.8697,43.4616,4.2,0,,,,,9,8.3,ok
TIC 338053718,290.4252,17.6665,4.21,0,,,,,4,4.0,ok
TIC 399788684,278.1438,57.0455,4.21,0,,,,,40,9.0,ok
TIC 243337598,290.0671,57.6452,4.21,0,,,,,30,8.9,ok
TIC 156196742,180.0751,80.853,4.24,0,,,,,11,9.0,ok
TIC 123446661,282.2827,47.5157,4.25,0,,,,,12,9.3,ok
TIC 471011933,236.0152,77.7945,4.27,0,,,,,22,9.1,ok
TIC 424429431,270.3749,21.5956,4.28,0,,,,,4,3.8,ok
TIC 348147249,281.7558,18.1822,4.28,0,,,,,4,3.8,ok
TIC 284359863,287.9194,56.8595,4.29,0,,,,,34,8.8,ok
TIC 355515052,291.3697,19.7979,4.29,0,,,,,4,4.0,ok
TIC 73884611,294.8556,16.5711,4.3,0,,,,,5,4.8,ok
TIC 372528113,145.7377,72.2525,4.3,0,,,,,6,5.6,ok
TIC 42105634,286.2431,30.7333,4.3,0,,,,,7,6.2,ok
TIC 198639604,271.6977,43.4517,4.31,0,,,,,10,9.0,ok
TIC 359598472,291.6195,19.8912,4.31,0,,,,,4,4.0,ok
TIC 142534605,164.365,74.3362,4.33,0,,,,,9,8.6,ok
TIC 233195546,264.2379,68.7599,4.34,0,,,,,39,8.8,ok
TIC 230080609,245.4527,69.1093,4.34,0,,,,,41,8.9,ok
TIC 321601892,264.1572,48.586,4.35,0,,,,,10,8.8,ok
TIC 219709102,137.5983,67.1335,4.36,0,,,,,5,4.7,ok
TIC 383553764,263.0552,86.5868,4.36,0,,,,,12,8.7,ok
TIC 188694034,260.4392,53.4204,4.36,0,,,,,24,8.6,ok
TIC 406533529,311.8883,80.552,4.37,0,,,,,17,9.0,ok
TIC 160222436,259.2265,89.0377,4.37,0,,,,,12,8.7,ok
TIC 270858200,294.1574,44.6943,4.37,0,,,,,10,9.6,ok
TIC 288268410,259.9053,80.1364,4.38,0,,,,,29,9.5,ok
TIC 137499471,132.6942,78.1651,4.38,0,,,,,8,7.3,ok
TIC 40865723,293.7339,33.7955,4.4,0,,,,,7,6.7,ok
TIC 302381745,100.1207,77.9957,4.4,0,,,,,9,8.0,ok
TIC 47584277,278.6282,51.7821,4.4,0,,,,,18,9.4,ok
TIC 237282609,299.9019,76.481,4.4,0,,,,,27,8.9,ok
TIC 289622310,254.0104,65.1351,4.41,0,,,,,41,9.2,ok
TIC 358796467,283.5551,27.9091,4.42,0,,,,,7,6.2,ok
TIC 424391070,281.445,74.086,4.43,0,,,,,39,8.8,ok
TIC 63289148,292.554,46.1478,4.45,0,,,,,9,8.5,ok
TIC 147605805,144.8657,67.272,4.46,0,,,,,8,7.2,ok
TIC 47578939,278.4861,52.3535,4.46,0,,,,,18,8.6,ok
TIC 26665833,292.8302,50.307,4.46,0,,,,,13,9.7,ok
TIC 289321783,278.0836,36.9988,4.47,0,,,,,6,5.7,ok
TIC 462736655,270.8357,19.5558,4.48,0,,,,,2,2.3,ok
TIC 237300602,302.2226,77.7116,4.48,0,,,,,26,8.8,ok
TIC 272679177,234.4122,69.2836,4.49,0,,,,,27,8.7,ok
TIC 22231411,270.1515,33.2135,4.51,0,,,,,5,4.6,ok
TIC 268379122,273.8687,86.6579,4.51,0,,,,,13,8.9,ok
TIC 198236604,248.7523,60.4682,4.51,0,,,,,41,8.7,ok
TIC 75938449,272.0086,36.4002,4.52,0,,,,,7,6.5,ok
TIC 353529431,288.8889,18.5164,4.53,0,,,,,5,4.8,ok
TIC 116099248,266.9864,36.5551,4.53,0,,,,,7,6.3,ok
TIC 398238180,307.0621,81.4228,4.54,0,,,,,19,8.9,ok
TIC 154344757,125.1681,72.4071,4.54,0,,,,,6,5.3,ok
TIC 417742747,105.3395,70.8082,4.54,0,,,,,7,6.2,ok
TIC 258663428,278.1924,23.6168,4.55,0,,,,,4,3.9,ok
TIC 441813918,267.3636,76.9644,4.55,0,,,,,40,8.2,ok
TIC 296081075,272.1895,20.8145,4.55,0,,,,,4,3.7,ok
