nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 141206921,186.0063,51.5623,4.0,0,,,,,6,10.1,ok
TIC 243279536,288.4796,57.7047,4.01,0,,,,,36,16.3,ok
TIC 148917425,188.3697,69.7883,4.02,0,,,,,8,12.6,ok
TIC 236155561,313.4744,33.4381,4.03,0,,,,,3,5.2,ok
TIC 237084695,307.3959,62.994,4.05,0,,,,,16,16.2,ok
TIC 289129191,314.5681,22.3259,4.05,0,,,,,4,7.0,ok
TIC 165602000,316.7539,38.7672,4.06,0,,,,,7,11.6,ok
TIC 259272661,293.8508,69.8056,4.06,0,,,,,41,16.1,ok
TIC 167407697,319.354,39.3947,4.1,0,,,,,7,11.5,ok
TIC 219878176,260.8145,71.87,4.12,0,,,,,40,16.7,ok
TIC 441804568,265.4848,72.1474,4.12,0,,,,,39,16.0,ok
TIC 202882298,304.4771,34.0903,4.12,0,,,,,7,11.3,ok
TIC 48307527,283.3064,50.7081,4.13,0,,,,,11,15.7,ok
TIC 356822358,275.189,71.338,4.14,0,,,,,40,15.7,ok
TIC 351295818,300.34,50.1047,4.14,0,,,,,12,16.8,ok
TIC 199666719,252.0692,57.8137,4.15,0,,,,,41,16.3,ok
TIC 298074497,201.534,72.3914,4.16,0,,,,,10,16.2,ok
TIC 117146835,319.4796,34.8969,4.16,0,,,,,5,8.3,ok
TIC 27014182,294.1105,50.2225,4.17,0,,,,,13,16.5,ok
TIC 233798897,303.3501,56.5682,4.18,0,,,,,13,16.2,ok
TIC 236982345,305.2981,63.9802,4.18,0,,,,,21,15.8,ok
TIC 184422034,296.2038,40.7167,4.19,0,,,,,8,13.4,ok
TIC 219895046,262.9909,68.1357,4.19,0,,,,,36,15.9,ok
TIC 271433034,295.1715,43.0778,4.19,0,,,,,10,16.7,ok
TIC 459186567,176.7319,55.628,4.2,0,,,,,6,9.7,ok
TIC 243337598,290.067,57.6452,4.21,0,,,,,30,16.4,ok
TIC 399788684,278.1438,57.0456,4.21,0,,,,,40,15.8,ok
TIC 224298157,185.2125,57.8637,4.21,0,,,,,5,8.3,ok
TIC 313260480,194.9776,66.5972,4.22,0,,,,,7,11.8,ok
TIC 142871245,175.6175,66.7451,4.24,0,,,,,7,11.2,ok
TIC 158579411,222.8588,59.2947,4.25,0,,,,,8,12.1,ok
