nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 243279536,288.4796,57.7046,4.01,0,,,,,36,17.2,ok
TIC 263600788,158.7724,75.7129,4.03,0,,,,,7,12.4,ok
TIC 259272661,293.8508,69.8056,4.06,0,,,,,41,16.6,ok
TIC 121085912,287.055,39.1549,4.1,0,,,,,8,15.2,ok
TIC 120422800,285.0794,40.6839,4.11,0,,,,,8,14.7,ok
TIC 219878176,260.8145,71.87,4.12,0,,,,,40,16.3,ok
TIC 441804568,265.4848,72.1472,4.12,0,,,,,39,16.7,ok
TIC 441620585,120.0487,73.9177,4.12,0,,,,,7,12.5,ok
TIC 159740890,268.3252,40.0083,4.13,0,,,,,7,12.6,ok
TIC 48307527,283.3064,50.7081,4.13,0,,,,,11,16.6,ok
TIC 193872669,269.9842,45.5012,4.13,0,,,,,9,15.8,ok
TIC 42195905,286.2417,31.7436,4.13,0,,,,,8,13.6,ok
TIC 356822358,275.189,71.338,4.14,0,,,,,40,16.5,ok
TIC 461522596,342.893,85.0464,4.14,0,,,,,12,17.4,ok
TIC 156974847,275.7048,17.8267,4.15,0,,,,,4,7.4,ok
TIC 199666719,252.0692,57.8137,4.15,0,,,,,41,16.8,ok
TIC 198838018,284.9401,26.2303,4.17,0,,,,,7,12.1,ok
TIC 219895046,262.9909,68.1359,4.19,0,,,,,36,16.6,ok
TIC 336130142,281.1934,37.6052,4.19,0,,,,,7,12.9,ok
TIC 399788684,278.1438,57.0455,4.21,0,,,,,40,17.1,ok
TIC 460004366,265.6178,24.5634,4.21,0,,,,,4,7.0,ok
TIC 243337598,290.0671,57.6452,4.21,0,,,,,30,17.6,ok
TIC 85407251,257.5773,40.6901,4.22,0,,,,,7,12.5,ok
TIC 199634926,250.7329,54.9036,4.22,0,,,,,20,17.8,ok
TIC 316675759,264.0892,27.5662,4.23,0,,,,,6,9.9,ok
TIC 156196742,180.075,80.8529,4.24,0,,,,,11,17.9,ok
TIC 123446661,282.2826,47.5157,4.25,0,,,,,12,17.8,ok
TIC 471011933,236.0152,77.7945,4.27,0,,,,,22,18.1,ok
TIC 424429431,270.3749,21.5956,4.28,0,,,,,4,7.4,ok
TIC 348147249,281.7558,18.1822,4.28,0,,,,,4,7.5,ok
TIC 284359863,287.9194,56.8595,4.29,0,,,,,34,17.7,ok
TIC 42105634,286.2431,30.7332,4.3,0,,,,,7,12.3,ok
TIC 198639604,271.6977,43.4517,4.31,0,,,,,10,17.5,ok
TIC 18272971,264.9896,31.2025,4.34,0,,,,,6,10.0,ok
TIC 233195546,264.2379,68.76,4.34,0,,,,,39,16.9,ok
TIC 230080609,245.4526,69.1093,4.34,0,,,,,41,17.5,ok
TIC 321601892,264.1572,48.586,4.35,0,,,,,10,17.6,ok
TIC 383553764,263.0552,86.5868,4.36,0,,,,,12,17.3,ok
TIC 188694034,260.4392,53.4204,4.36,0,,,,,24,17.0,ok
TIC 406533529,311.8883,80.552,4.37,0,,,,,17,18.1,ok
TIC 160222436,259.2261,89.0377,4.37,0,,,,,12,17.2,ok
TIC 137499471,132.6942,78.1651,4.38,0,,,,,8,14.2,ok
TIC 269664165,301.2223,68.0271,4.38,0,,,,,39,16.9,ok
TIC 288268410,259.9053,80.1364,4.38,0,,,,,29,18.1,ok
TIC 237282609,299.9019,76.481,4.4,0,,,,,27,16.9,ok
