nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 149988523,90.5391,-60.0968,4.0,0,,,,,44,19.2,ok
TIC 60954380,140.1208,-9.5559,4.02,0,,,,,4,7.8,ok
TIC 344023606,107.6977,-48.9309,4.03,0,,,,,11,17.8,ok
TIC 141301715,129.4109,-42.989,4.04,0,,,,,7,13.4,ok
TIC 145619018,122.9723,-35.773,4.04,0,,,,,7,12.7,ok
TIC 36881111,156.4337,-7.0591,4.07,0,,,,,4,7.8,ok
TIC 140692280,73.7973,-74.9365,4.07,0,,,,,42,17.9,ok
TIC 196551580,129.9268,-29.5616,4.08,0,,,,,?,0.6,erreur
TIC 407229678,144.3024,6.8358,4.09,0,,,,,5,9.2,ok
TIC 418149723,146.5419,6.7084,4.09,0,,,,,5,9.5,ok
TIC 74785626,138.107,-43.7773,4.1,0,,,,,6,11.8,ok
TIC 144059866,119.4654,-45.5775,4.1,0,,,,,8,14.6,ok
TIC 309401053,124.5787,-65.6131,4.1,0,,,,,22,17.5,ok
TIC 133038333,120.5256,-37.05,4.13,0,,,,,6,10.7,ok
TIC 149542947,86.1928,-65.7355,4.14,0,,,,,33,18.9,ok
TIC 278987417,101.8279,-55.5398,4.14,0,,,,,?,0.6,erreur
TIC 34870661,147.5106,-42.0204,4.14,0,,,,,8,14.7,ok
TIC 190450203,133.2,-38.724,4.15,0,,,,,5,9.7,ok
TIC 176734833,142.3026,-20.7491,4.15,0,,,,,4,8.1,ok
TIC 237956133,101.7193,-51.2662,4.15,0,,,,,15,18.0,ok
TIC 130792149,117.0356,-40.6525,4.15,0,,,,,6,11.5,ok
TIC 318184988,162.1689,-1.9588,4.18,0,,,,,7,12.8,ok
TIC 134497068,108.1389,-46.7587,4.18,0,,,,,9,15.8,ok
TIC 183611830,125.8205,-38.2861,4.19,0,,,,,7,12.7,ok
TIC 77549389,142.2879,-2.7691,4.19,0,,,,,5,9.3,ok
TIC 290599175,140.1529,0.1816,4.2,0,,,,,4,7.4,ok
TIC 3296473,138.9379,-37.4132,4.2,0,,,,,4,7.5,ok
TIC 308818588,151.7897,-17.1421,4.21,0,,,,,6,11.1,ok
TIC 175253836,115.9257,-40.9348,4.21,0,,,,,5,9.4,ok
TIC 381949122,76.3774,-57.472,4.22,0,,,,,45,17.9,ok
TIC 293841803,141.3501,-5.1174,4.22,0,,,,,3,5.7,ok
TIC 141280255,82.9736,-76.3393,4.23,0,,,,,42,17.9,ok
TIC 11421324,146.05,-27.7693,4.23,0,,,,,?,0.5,erreur
TIC 182938696,124.638,-36.6587,4.24,0,,,,,7,13.2,ok
TIC 260605873,97.3683,-56.8526,4.24,0,,,,,44,18.0,ok
TIC 291472646,111.591,-51.0184,4.24,0,,,,,11,17.4,ok
TIC 60786719,139.174,-6.3531,4.24,0,,,,,?,0.6,erreur
TIC 341193607,119.2122,-59.1257,4.24,0,,,,,17,18.2,ok
TIC 45602275,148.8588,-41.5869,4.25,0,,,,,7,13.4,ok
TIC 340001869,112.629,-54.3992,4.26,0,,,,,12,17.3,ok
TIC 280200611,144.2053,-49.3548,4.26,1,1.3934,33.9,rejete,variabilite_continue,7,18.2,ok
TIC 308844962,122.2508,-61.3041,4.29,0,,,,,19,18.1,ok
TIC 57035113,127.6191,-32.1593,4.3,0,,,,,?,0.7,erreur
TIC 3448013,139.2376,-39.4017,4.31,0,,,,,6,11.3,ok
TIC 382198789,81.5802,-58.9123,4.32,0,,,,,43,18.1,ok
TIC 123699670,115.7372,-45.1764,4.36,0,,,,,8,15.7,ok
TIC 189387794,142.477,-26.5896,4.36,0,,,,,5,9.9,ok
TIC 184602707,127.6241,-36.7213,4.36,0,,,,,7,13.7,ok
TIC 358466601,119.0776,-60.5264,4.36,0,,,,,22,18.2,ok
TIC 38680734,65.4733,-63.3854,4.38,0,,,,,45,18.1,ok
TIC 255686390,98.744,-52.9755,4.38,0,,,,,23,18.9,ok
TIC 283929077,151.884,-22.4896,4.39,0,,,,,5,9.8,ok
TIC 59533878,109.0645,-46.7743,4.39,0,,,,,7,12.8,ok
TIC 33417208,150.9207,-9.5738,4.4,0,,,,,4,7.5,ok
TIC 11310083,145.5575,-23.914,4.41,0,,,,,4,8.2,ok
TIC 269064487,118.3256,-48.1029,4.41,0,,,,,9,16.5,ok
TIC 385840548,138.5746,-55.5695,4.43,0,,,,,8,15.3,ok
TIC 186390425,132.4646,-32.7808,4.43,0,,,,,5,9.3,ok
TIC 141810080,92.563,-74.7543,4.43,0,,,,,45,17.8,ok
TIC 180731888,129.4153,-40.4354,4.44,0,,,,,6,11.4,ok
TIC 62687230,142.9955,-1.1847,4.44,0,,,,,4,7.6,ok
TIC 149304313,83.2488,-64.2275,4.45,0,,,,,40,18.5,ok
TIC 30762159,75.6791,-71.3142,4.46,0,,,,,42,18.9,ok
TIC 133146580,120.6845,-41.303,4.47,0,,,,,6,10.8,ok
TIC 500178562,142.6736,-40.4665,4.47,0,,,,,5,10.0,ok
TIC 237948257,101.4738,-52.4096,4.47,0,,,,,20,18.6,ok
TIC 175299655,151.9844,-0.3717,4.47,0,,,,,6,11.6,ok
TIC 26206896,152.7328,-8.4187,4.5,0,,,,,3,5.8,ok
TIC 341188017,118.7214,-57.3026,4.5,0,,,,,14,17.2,ok
TIC 38699658,66.272,-61.2381,4.5,0,,,,,44,18.1,ok
TIC 5851342,143.9122,-39.9035,4.5,0,,,,,6,11.2,ok
TIC 131577609,118.2645,-36.3638,4.5,0,,,,,5,10.0,ok
TIC 38574220,63.7022,-62.1912,4.5,0,,,,,42,18.3,ok
TIC 150320620,95.7558,-63.683,4.5,1,2.2113,17.0,rejete,variabilite_continue;eclipse_secondaire;compagnon_trop_gros_8.6Rjup,40,24.4,ok
TIC 354825493,122.3721,-47.3452,4.52,0,,,,,8,15.5,ok
TIC 348753406,134.1421,-16.7089,4.52,0,,,,,5,9.6,ok
TIC 167126852,96.3691,-69.6891,4.53,0,,,,,42,18.6,ok
TIC 146976616,124.5726,-35.4517,4.53,0,,,,,?,0.6,erreur
TIC 45297854,130.1542,-59.761,4.53,0,,,,,11,18.7,ok
TIC 432166381,153.5372,-23.8139,4.54,0,,,,,6,11.5,ok
TIC 405451015,143.2323,-13.5168,4.55,0,,,,,5,9.4,ok
TIC 306829961,121.982,-68.6169,4.55,0,,,,,38,18.3,ok
TIC 423317953,140.8106,-21.0377,4.58,0,,,,,5,9.6,ok
TIC 185102925,128.6218,-37.6111,4.58,0,,,,,6,11.5,ok
TIC 56557252,147.9219,-11.3407,4.59,0,,,,,6,11.1,ok
TIC 123223573,143.6361,-5.9153,4.59,0,,,,,3,5.8,ok
TIC 410205809,133.8019,-18.2412,4.59,0,,,,,5,9.4,ok
TIC 310764588,129.3283,-62.8536,4.59,0,,,,,11,18.3,ok
TIC 285695004,130.3046,-47.3171,4.6,0,,,,,7,13.0,ok
TIC 5546608,143.0804,-40.6494,4.61,0,,,,,7,12.6,ok
TIC 20086799,137.3981,-8.7877,4.63,0,,,,,4,7.5,ok
TIC 81285690,122.8578,-42.9873,4.63,0,,,,,8,14.7,ok
TIC 1712865,155.886,-3.6428,4.64,0,,,,,3,6.1,ok
TIC 45604747,149.022,-40.8247,4.64,0,,,,,8,14.7,ok
TIC 47379607,162.7722,-3.0927,4.65,0,,,,,7,13.1,ok
TIC 220424200,72.2697,-56.6664,4.66,0,,,,,29,18.1,ok
TIC 182776916,124.4423,-36.0676,4.67,0,,,,,7,13.0,ok
TIC 242080083,139.8883,-15.835,4.67,0,,,,,4,7.6,ok
TIC 422203859,151.2809,-13.0645,4.68,0,,,,,5,9.4,ok
TIC 386611198,159.4655,-12.021,4.68,0,,,,,3,5.7,ok
TIC 32996636,144.5063,-43.1912,4.69,0,,,,,8,14.9,ok
TIC 348903900,148.8973,-17.4695,4.7,0,,,,,5,9.2,ok
TIC 286680821,152.8296,-18.9576,4.71,0,,,,,6,11.2,ok
TIC 131569323,118.161,-38.8628,4.71,0,,,,,6,10.9,ok
TIC 46802551,141.9436,-6.0717,4.71,0,,,,,4,7.8,ok
TIC 46028220,131.6772,-56.7697,4.72,0,,,,,9,16.5,ok
TIC 260507093,96.767,-58.0021,4.74,0,,,,,43,18.8,ok
TIC 25457429,144.2914,-32.1788,4.75,0,,,,,?,0.5,erreur
TIC 189641373,144.2505,-25.2965,4.75,0,,,,,5,9.3,ok
TIC 319433485,100.2176,-52.4333,4.75,0,,,,,21,18.2,ok
TIC 25096757,142.8888,-35.7158,4.76,0,,,,,6,11.3,ok
TIC 142108949,99.4236,-77.5384,4.76,0,,,,,42,18.0,ok
TIC 408382023,145.3207,-23.5915,4.76,0,,,,,5,9.3,ok
TIC 260372062,95.4197,-56.3624,4.76,0,,,,,41,17.9,ok
TIC 356771041,135.1905,-60.9638,4.76,0,,,,,9,16.9,ok
TIC 74533697,137.7683,-44.8679,4.76,0,,,,,7,12.8,ok
TIC 30110465,73.3771,-66.6753,4.77,0,,,,,42,17.8,ok
TIC 101424907,149.1481,-33.4184,4.79,0,,,,,6,11.1,ok
TIC 123032108,113.4594,-43.1137,4.79,0,,,,,6,10.8,ok
TIC 385461878,138.2319,-59.4138,4.79,0,,,,,8,14.9,ok
TIC 383518546,134.8487,-59.0821,4.79,0,,,,,10,18.0,ok
TIC 2226189,133.8821,-27.6824,4.79,0,,,,,4,7.6,ok
TIC 132639481,119.8676,-39.297,4.79,0,,,,,8,15.0,ok
TIC 142797582,138.7968,-3.9678,4.8,0,,,,,3,5.9,ok
