nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 453855182,82.9001,-45.9251,4.68,0,,,,,6,6.9,ok
TIC 445927933,59.6556,11.0274,4.69,0,,,,,7,7.9,ok
TIC 24603068,80.578,-8.6661,4.72,0,,,,,3,4.2,ok
TIC 712803050,81.1197,-2.397,4.72,2,3.9952;7.9893,17.1,rejete,eclipse_secondaire,2,6.2,ok
TIC 303767154,76.1424,15.4039,4.73,0,,,,,6,7.6,ok
TIC 21726745,88.1385,-37.6312,4.74,0,,,,,6,7.1,ok
TIC 260507093,96.767,-58.0021,4.74,0,,,,,43,10.5,ok
TIC 283630339,62.1752,10.0991,4.74,0,,,,,6,6.7,ok
TIC 178995938,70.0279,-24.4823,4.74,0,,,,,3,4.1,ok
TIC 427393354,83.8465,-4.8384,4.74,0,,,,,3,4.1,ok
TIC 396897866,62.7889,2.3183,4.75,0,,,,,2,2.7,ok
TIC 319433485,100.2176,-52.4333,4.75,0,,,,,21,10.3,ok
TIC 264459943,81.1868,1.8464,4.75,0,,,,,3,4.2,ok
TIC 260372062,95.4197,-56.3624,4.76,0,,,,,41,10.2,ok
TIC 142108949,99.4236,-77.5384,4.76,0,,,,,42,10.0,ok
TIC 250192495,65.0639,-2.6286,4.76,0,,,,,3,4.2,ok
TIC 30110465,73.3771,-66.6753,4.77,0,,,,,42,10.9,ok
TIC 139409739,80.1123,-21.2398,4.79,0,,,,,4,5.2,ok
TIC 13883466,73.7283,-39.6285,4.79,0,,,,,5,6.4,ok
TIC 50623856,82.3485,-3.4464,4.81,0,,,,,3,4.2,ok
TIC 38125977,68.342,-10.7852,4.81,0,,,,,3,4.3,ok
TIC 219405754,78.4722,-52.0308,4.81,0,,,,,14,10.9,ok
TIC 407966439,60.7941,8.8827,4.82,0,,,,,4,4.7,ok
TIC 24531951,83.2815,-35.1395,4.82,0,,,,,6,7.4,ok
TIC 448847433,66.5057,4.3734,4.82,0,,,,,2,3.2,ok
TIC 24608852,83.8147,-33.0791,4.83,0,,,,,6,7.4,ok
TIC 269077985,75.4598,0.722,4.83,0,,,,,3,4.1,ok
TIC 32500750,84.4357,-28.6894,4.83,0,,,,,5,6.2,ok
TIC 70987842,65.1724,-16.8299,4.84,0,,,,,2,2.8,ok
TIC 349647610,112.2143,-64.5099,4.86,0,,,,,44,10.9,ok
TIC 213070042,75.6894,-4.2101,4.86,0,,,,,3,4.0,ok
TIC 55934583,68.559,-6.838,4.86,0,,,,,2,3.2,ok
TIC 245794190,67.2096,13.0475,4.86,0,,,,,7,8.5,ok
TIC 372917805,65.9658,9.4609,4.87,0,,,,,4,5.3,ok
TIC 38759751,66.9416,-62.5212,4.89,0,,,,,43,10.8,ok
TIC 255560740,96.2015,-52.8062,4.89,0,,,,,20,11.3,ok
TIC 262399760,78.4469,0.5603,4.89,0,,,,,3,4.2,ok
TIC 260972404,75.0546,-78.3,4.89,0,,,,,36,11.5,ok
TIC 283723212,63.3879,7.7161,4.9,0,,,,,?,0.4,erreur
TIC 117774227,69.7228,-12.1232,4.9,0,,,,,2,3.3,ok
TIC 350136745,52.4951,-78.352,4.9,0,,,,,16,12.1,ok
TIC 293972244,106.6999,-58.3809,4.9,0,,,,,42,10.8,ok
TIC 117979951,71.902,-16.9335,4.9,0,,,,,3,4.2,ok
TIC 264540478,81.7093,3.0957,4.91,0,,,,,3,4.2,ok
TIC 34512896,82.9827,-7.3016,4.91,0,,,,,3,4.4,ok
TIC 38828538,68.39,-62.8238,4.91,0,,,,,42,10.9,ok
TIC 427394772,83.8186,-5.3897,4.91,0,,,,,3,4.5,ok
TIC 4117551,80.4406,-0.3825,4.91,0,,,,,2,3.2,ok
TIC 246927556,73.7785,-16.7407,4.91,0,,,,,3,4.2,ok
TIC 77318924,70.9346,-41.0647,4.91,0,,,,,5,6.5,ok
TIC 9150015,60.654,-0.2704,4.91,0,,,,,2,2.9,ok
TIC 350563801,86.8056,-54.3607,4.91,0,,,,,32,10.8,ok
TIC 14223334,78.6203,-35.9769,4.92,0,,,,,4,5.2,ok
TIC 354552931,82.5397,-47.0784,4.92,0,,,,,7,7.9,ok
TIC 139733885,67.1629,-19.4595,4.93,0,,,,,3,4.3,ok
TIC 21718294,87.9807,-41.1052,4.94,0,,,,,5,6.6,ok
TIC 180974744,89.6564,-44.0345,4.94,0,,,,,6,7.3,ok
TIC 246930866,73.8278,-16.4175,4.94,0,,,,,3,4.4,ok
TIC 176960513,101.2316,-70.4337,4.95,0,,,,,41,10.9,ok
TIC 1521078,75.595,-31.7708,4.95,0,,,,,3,4.3,ok
TIC 449201578,79.7967,2.5955,4.95,0,,,,,2,3.1,ok
TIC 301867133,130.9764,-68.2114,4.95,0,,,,,16,11.5,ok
TIC 298810162,69.4008,-2.4739,4.96,0,,,,,3,4.3,ok
TIC 219420836,79.8424,-50.6046,4.97,0,,,,,9,10.7,ok
TIC 365512501,65.1718,6.1305,4.97,0,,,,,3,4.3,ok
TIC 243031870,61.0785,12.5074,4.97,0,,,,,6,6.8,ok
TIC 46687999,85.5602,-17.5303,4.97,0,,,,,3,4.3,ok
TIC 219367750,75.7025,-49.1512,4.98,0,,,,,6,7.7,ok
TIC 295071039,72.6837,-69.8313,4.98,0,,,,,43,10.6,ok
TIC 229075874,63.2001,-23.8212,4.99,0,,,,,4,4.8,ok
TIC 427396944,83.9145,-4.856,4.99,0,,,,,3,4.2,ok
TIC 43533276,75.3598,-7.1739,4.99,0,,,,,2,3.2,ok
TIC 284857894,76.9705,8.4983,4.99,0,,,,,3,4.3,ok
TIC 332913301,84.6582,-6.574,5.0,0,,,,,3,4.2,ok
TIC 363913149,89.31,-53.4257,5.0,0,,,,,29,11.1,ok
TIC 245911904,69.7887,15.7995,5.0,0,,,,,7,8.6,ok
TIC 365509226,64.9058,10.1212,5.0,0,,,,,6,7.4,ok
TIC 146471505,76.2119,-21.9048,5.0,0,,,,,3,4.3,ok
TIC 375092757,88.7085,-52.6341,5.02,1,1.4688,23.4,rejete,variabilite_continue;eclipse_secondaire,20,16.3,ok
TIC 427395049,83.8454,-5.4161,5.02,0,,,,,3,4.2,ok
TIC 453101438,116.0032,-67.2018,5.03,0,,,,,43,10.1,ok
TIC 257636561,63.3989,-40.3576,5.04,0,,,,,4,4.9,ok
TIC 100775794,88.2786,-33.8012,5.04,0,,,,,6,7.5,ok
TIC 50621545,82.2538,-4.6925,5.04,0,,,,,3,4.3,ok
TIC 161636895,75.7587,-42.498,5.04,0,,,,,6,7.6,ok
TIC 302613885,82.4912,16.1512,5.04,0,,,,,7,8.6,ok
TIC 238925893,94.4657,-52.733,5.05,0,,,,,22,11.0,ok
TIC 435916016,65.1519,15.0953,5.06,0,,,,,5,6.6,ok
TIC 67782259,64.33,-6.4722,5.07,0,,,,,2,2.7,ok
TIC 7420831,81.2315,-44.2256,5.07,0,,,,,7,8.2,ok
TIC 345482619,68.4507,9.4134,5.07,0,,,,,5,6.4,ok
TIC 450106120,73.6954,11.4261,5.08,0,,,,,5,6.6,ok
TIC 255559203,95.9073,-52.181,5.08,0,,,,,18,11.1,ok
TIC 117799456,70.1366,-14.2008,5.09,0,,,,,2,3.3,ok
TIC 32543519,84.5287,-27.2108,5.09,0,,,,,5,6.4,ok
TIC 393296309,91.8818,-37.2529,5.09,0,,,,,4,5.5,ok
TIC 255630992,97.8273,-51.8254,5.09,0,,,,,15,11.1,ok
TIC 43903580,78.2007,-6.0574,5.09,0,,,,,3,4.1,ok
TIC 372908550,119.4233,-65.9087,5.09,0,,,,,37,11.1,ok
TIC 407997659,60.9868,8.1974,5.09,0,,,,,4,4.8,ok
TIC 92939974,83.5659,-18.812,5.1,0,,,,,3,3.8,ok
TIC 170697643,67.668,-35.6533,5.1,0,,,,,5,6.7,ok
TIC 364423809,69.5903,-77.6561,5.1,0,,,,,38,11.5,ok
TIC 138852778,82.5831,4.2046,5.1,0,,,,,3,4.3,ok
TIC 220613852,84.0118,-47.3138,5.1,0,,,,,7,9.0,ok
TIC 350094361,115.1369,-64.3233,5.11,0,,,,,44,11.5,ok
TIC 220414802,71.0885,-59.7325,5.11,0,,39.6,rejete,variabilite_continue;eclipse_secondaire,41,16.2,ok
TIC 350765991,89.2001,-59.4223,5.12,0,,,,,43,11.6,ok
TIC 250132049,63.0847,-4.4102,5.12,0,,,,,2,2.8,ok
TIC 248611592,65.9199,-3.7458,5.12,0,,,,,3,4.6,ok
TIC 455032522,76.6505,0.5485,5.13,0,,,,,2,2.8,ok
TIC 257643750,71.4806,-39.3567,5.13,0,,,,,5,6.4,ok
TIC 705613249,89.0873,-31.3824,5.13,0,,,,,2,2.8,ok
TIC 139761672,67.9993,-20.6996,5.14,0,,,,,2,3.3,ok
TIC 178804201,65.9184,-27.8304,5.14,0,,,,,3,3.8,ok
TIC 435940639,66.0604,12.1579,5.14,0,,,,,6,7.4,ok
TIC 31356575,83.2575,-25.3671,5.14,0,,,,,4,5.4,ok
TIC 452358088,88.1023,-52.0553,5.15,0,,,,,18,11.5,ok
TIC 264592553,80.7083,3.5444,5.15,0,,21.5,rejete,variabilite_continue;eclipse_secondaire,3,6.5,ok
TIC 13345794,78.8516,-26.9437,5.16,0,,19.9,rejete,variabilite_continue;eclipse_secondaire,4,8.1,ok
TIC 345582306,69.7762,7.871,5.17,0,,,,,3,4.6,ok
TIC 245820995,67.6563,13.7243,5.17,0,,,,,7,8.6,ok
TIC 37907463,66.4263,-9.9267,5.17,0,,,,,3,4.4,ok
TIC 453854183,80.0021,-47.0488,5.17,0,,,,,8,8.8,ok
TIC 255759158,99.5959,-52.9319,5.18,0,,,,,23,11.1,ok
TIC 248437923,77.5136,-0.5656,5.19,0,,,,,3,4.3,ok
TIC 427373484,83.7612,-6.002,5.19,0,,,,,3,4.2,ok
TIC 248396674,76.6903,-4.6552,5.19,0,,,,,3,4.2,ok
TIC 149219496,82.3222,-62.3144,5.19,0,,,,,38,11.0,ok
TIC 308086497,129.7718,-70.387,5.19,0,,,,,18,11.1,ok
TIC 255614399,97.4536,-50.2394,5.19,0,,,,,11,11.5,ok
