nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 392834850,158.2028,9.3066,4.0,0,,,,,3,6.5,ok
TIC 26864144,112.453,27.916,4.08,0,,,,,7,12.2,ok
TIC 406325053,142.9858,11.2993,4.09,0,,,,,3,5.5,ok
TIC 407229678,144.3024,6.8358,4.09,0,,,,,5,9.2,ok
TIC 144198478,177.7768,-11.2079,4.09,0,,,,,6,10.8,ok
TIC 418149723,146.5419,6.7084,4.09,0,,,,,5,8.6,ok
TIC 363571931,171.9844,2.8562,4.1,0,,,,,2,3.9,ok
TIC 363496434,170.2836,6.0292,4.11,0,,,,,3,5.5,ok
TIC 332064718,133.119,28.2591,4.14,0,,,,,4,7.4,ok
TIC 283785572,134.6219,11.8575,4.17,0,,,,,4,6.9,ok
TIC 318184988,162.1689,-1.9588,4.18,0,,,,,7,12.3,ok
TIC 134911095,196.9743,-10.7405,4.18,0,,,,,2,3.8,ok
TIC 35283826,138.8075,14.9414,4.21,0,,,,,3,5.3,ok
TIC 366657979,133.9813,11.6259,4.23,0,,,,,4,7.2,ok
TIC 26693841,110.8683,25.0504,4.23,0,,,,,5,8.2,ok
TIC 290022685,192.4458,-15.0789,4.24,0,,,,,5,8.6,ok
TIC 349065534,185.2321,-13.5657,4.24,0,,,,,6,10.3,ok
TIC 240173727,168.9662,13.3075,4.25,0,,,,,5,9.0,ok
TIC 443616529,169.1647,-3.6518,4.26,0,,15.0,rejete,variabilite_continue;eclipse_secondaire;compagnon_trop_gros_2.6Rjup,5,12.7,ok
TIC 178268553,128.1768,20.4409,4.27,0,,,,,4,7.0,ok
TIC 392846336,158.6994,6.9541,4.27,0,,,,,3,5.3,ok
TIC 292113060,198.1906,-1.7585,4.29,0,,,,,2,4.2,ok
TIC 418159863,146.5971,11.8102,4.3,0,,,,,3,5.5,ok
TIC 903126673,166.2528,7.3358,4.3,0,,,,,3,5.7,ok
TIC 97600373,126.6152,27.8929,4.33,0,,,,,6,10.4,ok
TIC 386908527,137.3397,22.0455,4.33,0,,,,,4,7.3,ok
TIC 366439845,126.478,7.5644,4.34,0,,,,,6,10.3,ok
TIC 95431211,154.9325,19.4696,4.36,0,,,,,4,7.2,ok
